#{"t_start": 1789349340.642776, "env_id": "Walker2d-v5"}
r,l,t,task_return
60.718605,29,2.253661,4.166657540091201
38.500614,23,2.283145,-0.438861058095129
0.0,9,2.291063,-4.940516129305255
60.230175,29,2.3305,9.412899324804778
0.0,12,2.344453,-4.242311592106066
0.0,11,2.356804,-3.428025519550247
0.0,13,2.370636,-8.227168094682586
5.884264,16,2.391137,-4.341937588771673
26.083359,20,2.416872,2.0659959254336986
41.924786,24,2.442323,1.7963620576094566
10.812383,17,2.464368,-10.937364761745265
25.648386,20,2.489259,-2.3517712453724076
43.51725,24,2.515407,-7.9742674890870635
75.620415,32,2.555485,-6.105796432490388
87.190964,34,2.599124,-2.8191623713221663
25.844196,20,2.627292,-2.778845135036642
0.0,11,2.63948,-0.5703633040537738
0.0,11,2.654407,-4.987149500076502
0.0,12,2.668219,0.1069290198845213
0.0,11,2.683484,-1.7961849602656201
0.0,15,2.701876,-3.070961076610936
0.0,15,2.719334,0.5851990097371425
0.0,15,2.738746,-2.6722324460625035
0.0,9,2.748553,-0.28398744567812007
84.002159,37,2.795466,14.797880394060734
0.0,11,2.807266,-4.507014831019995
55.392338,28,2.839375,5.979987223437087
52.971691,26,2.868987,0.3704122669655163
0.0,10,2.884082,-1.5698128738003005
21.371841,19,2.902005,1.8410188706716832
0.0,13,2.914747,-8.60190424843463
68.557869,29,2.947935,5.188702157084561
0.0,10,2.956405,-6.876484649703051
25.094076,20,2.978023,2.7613235409976085
14.292999,18,2.99478,-7.953065659617091
42.191734,24,3.022582,3.8151849044364625
56.755508,27,3.052777,-1.5841290177363754
24.808393,20,3.074984,-0.8205827732079148
21.805347,19,3.092067,-3.98463905785265
15.044181,18,3.110185,-9.643425380798385
38.670017,23,3.13722,0.08906027865797927
44.661133,25,3.163256,4.570882322799985
0.0,14,3.178473,-3.3577499670453705
20.40506,19,3.201273,-4.555680016346876
50.098618,26,3.23007,2.070126334679806
26.91523,20,3.252101,2.798509063179142
0.0,15,3.26619,2.733416020895329
25.325666,20,3.291845,-1.9640145013721677
0.0,12,3.304443,-2.142528612608893
0.0,11,3.315415,-7.483407849184381
21.275827,19,3.336803,-5.041241797020101
0.0,10,3.349463,-0.8881630917712384
62.647499,28,3.380194,1.357822278809717
6.059655,16,3.396504,2.3145789098432172
51.192245,26,3.718991,1.9009260715950647
0.0,8,3.730683,-3.2496717890942044
64.853195,31,3.768268,-11.240636617188477
85.54171,35,3.815429,7.783574497681469
49.317333,26,3.85134,-0.9554294677295657
0.0,10,3.865168,-3.3078616601544066
38.191128,23,3.897621,-10.981472306428184
0.0,12,3.909796,0.5976316387875891
0.0,15,3.929491,-7.610184133120057
71.700699,31,3.966671,8.38550661438317
50.036934,25,3.99633,-6.952763226737846
33.857582,22,4.033235,7.155488710362305
30.872389,21,4.060653,-0.28386224561023377
0.0,10,4.069997,-1.5803139654020553
24.425488,20,4.094262,-6.532318340999966
58.847736,27,4.125212,0.5823134839443866
66.204361,31,4.161304,1.5003136729904352
20.078226,19,4.185427,-2.3112768273359654
30.93749,21,4.215654,7.755530370487955
0.0,12,4.231131,-2.480487031910717
15.615773,18,4.253704,1.7529670271915163
16.917776,18,4.27774,0.14356815841275106
23.786076,20,4.300187,-5.788291254593891
0.0,15,4.321889,0.7112713993324733
