#{"t_start": 1789350253.154662, "env_id": "Walker2d-v5"}
r,l,t,task_return,displacement,episode_steps,full_episode
4.836523,34,0.40139,3.412769202528267,-0.2358771043738259,34,0.0
18.576328,41,0.413446,16.86207318868642,-0.1841251198935013,41,0.0
-0.220354,15,0.416314,-0.22035350713902968,-0.11339112172689482,15,0.0
-0.373842,17,0.419918,-0.5829587727620655,-0.13224726134851456,17,0.0
0.802498,11,0.422041,0.8024982035718713,-0.07331195485882473,11,0.0
-3.24572,9,0.423861,-3.2457201018139017,-0.08975527247183117,9,0.0
8.860942,24,0.430646,8.008507375172282,-0.11933855532223407,24,0.0
-16.057796,18,0.434745,-16.354803720700737,-0.26634669940901695,18,0.0
-2.589522,34,0.445237,-3.9050430630621937,-0.29443313641394264,34,0.0
-3.458387,16,0.449194,-3.566313126203525,-0.1481717794567154,16,0.0
-1.138274,21,0.454609,-1.7270955983631118,-0.1732833413538246,21,0.0
15.451059,36,0.465651,13.889217068262736,-0.16799456748043476,36,0.0
4.915157,33,0.475408,3.5178845894263038,-0.2270535684149929,33,0.0
-1.316217,12,0.478296,-1.3162165514560864,-0.09825637631948626,12,0.0
14.119953,28,0.486414,13.071483876224233,-0.11081646828595662,28,0.0
1.062811,30,0.495681,-0.030580646538564293,-0.23150804367060526,30,0.0
-4.33207,15,0.498713,-4.3320704460153046,-0.14632366306400646,15,0.0
-2.565528,11,0.500877,-2.5655284152107853,-0.10028823462927533,11,0.0
-0.211774,29,0.509101,-1.266816775608266,-0.23342719826802924,29,0.0
-0.057358,11,0.511318,-0.05735800437500704,-0.08021202360574059,11,0.0
-1.55792,14,0.514171,-1.557920374292909,-0.1161053457732501,14,0.0
-2.819529,15,0.517266,-2.819529026172305,-0.13419484456820932,15,0.0
2.969871,19,0.521596,2.595725375862961,-0.12273133618807658,19,0.0
0.555211,13,0.524145,0.555210504556378,-0.0912141618766537,13,0.0
-7.758016,11,0.715498,-7.758016223776325,-0.14177108267500388,11,0.0
-5.010736,9,0.717729,-5.010735541934688,-0.10385983581564263,9,0.0
-9.434225,19,0.722385,-9.80642519258501,-0.2219898816856055,19,0.0
-2.579966,12,0.724746,-2.5799661476361098,-0.1083278556314934,12,0.0
