#{"t_start": 1789350253.1537778, "env_id": "Walker2d-v5"}
r,l,t,task_return,displacement,episode_steps,full_episode
-6.869505,21,0.39678,-6.869505112144405,-0.21438945436638787,21,0.0
-3.979358,16,0.400641,-3.9793580085386044,-0.15142881408799252,16,0.0
-0.465504,18,0.404146,-0.46550353129702593,-0.1392401703234636,18,0.0
-5.350811,17,0.407574,-5.350811157893467,-0.1703650679406232,17,0.0
-1.93147,14,0.410567,-1.9314701716237979,-0.11903692307383515,14,0.0
-3.791201,10,0.412441,-3.791201428171541,-0.1021029568836936,10,0.0
1.102113,28,0.417677,1.1021127988862003,-0.20656049601320317,28,0.0
3.614286,15,0.420561,3.614286277401921,-0.08264478494911859,15,0.0
-5.26481,20,0.424323,-5.264810024628498,-0.19363687926471673,20,0.0
-0.485312,15,0.427059,-0.4853121140627221,-0.11546106530307236,15,0.0
-8.459814,13,0.429896,-8.459813599707106,-0.16336112844291714,13,0.0
-0.962222,19,0.433521,-0.9622216396150356,-0.15124700017580778,19,0.0
13.593479,27,0.438661,13.59347928573508,-0.09860108458747044,27,0.0
-0.621579,23,0.442888,-0.6215789351666167,-0.1803780864028691,23,0.0
0.984087,30,0.44837,0.9840865966426746,-0.22338641853442,30,0.0
2.111049,14,0.452733,2.111048615420381,-0.08675620280858759,14,0.0
3.912446,22,0.457179,3.912445879372304,-0.1362193396547362,22,0.0
2.870448,25,0.462954,2.8704478396955686,-0.16846452599881903,25,0.0
3.476616,22,0.467424,3.4766156967034183,-0.13964067726283996,22,0.0
0.54315,13,0.470072,0.5431504408091405,-0.09131220967959008,13,0.0
-0.430097,14,0.472954,-0.4300970876545036,-0.10709815026089725,14,0.0
-0.677206,13,0.475527,-0.6772055482751257,-0.1010782506196041,13,0.0
-0.081766,22,0.480397,-0.0817661099521787,-0.16815438651138126,22,0.0
-7.156014,18,0.484075,-7.15601431696648,-0.19276425700463135,18,0.0
-10.001541,19,0.488002,-10.0015406922966,-0.22355745433089716,19,0.0
-4.692916,11,0.490219,-4.692915746208605,-0.11728755186609811,11,0.0
5.739612,18,0.493475,5.739611851316684,-0.08964766622308794,18,0.0
6.565253,29,0.694234,6.565252638167826,-0.17077451589254936,29,0.0
-5.056,12,0.696695,-5.0559997269388814,-0.12814278462675852,12,0.0
-0.714587,25,0.702034,-0.7145867260551066,-0.1971079260102704,25,0.0
-0.074551,13,0.704549,-0.07455103430898175,-0.09628841741707185,13,0.0
-3.18721,16,0.707755,-3.18720988237609,-0.14506588708943374,16,0.0
-4.84493,16,0.710942,-4.844930301231768,-0.1583824729755332,16,0.0
4.715476,15,0.713948,4.715476104343057,-0.07391332933730836,15,0.0
-2.810933,9,0.715744,-2.8109329528135207,-0.08626334229685884,9,0.0
-2.338083,11,0.71811,-2.3380828207172657,-0.09842567160552383,11,0.0
-8.562958,18,0.721779,-8.56295763066446,-0.20402826877168848,18,0.0
0.005104,16,0.724954,0.005104100658352095,-0.11954480699793786,16,0.0
-1.389771,26,0.730456,-1.3897711547314142,-0.2104634075835265,26,0.0
1.960596,26,0.735719,1.9605957536149239,-0.18369865195089474,26,0.0
-4.227483,11,0.738061,-4.22748286569611,-0.11356043684587842,11,0.0
9.878752,29,0.744024,9.878751769643667,-0.14431519477363358,29,0.0
-13.260299,28,0.74957,-13.260299215422535,-0.32138032029553176,28,0.0
5.629984,20,0.753504,5.629984329738299,-0.10642239736631796,20,0.0
3.966746,15,0.756357,3.9667460716551646,-0.07991470510457567,15,0.0
4.685388,14,0.759564,4.685387994382551,-0.06617668362857013,14,0.0
-4.187396,7,0.761002,-4.187395742846381,-0.08131628333392522,7,0.0
7.378607,20,0.764975,7.378606608510789,-0.09245445843673625,20,0.0
0.75814,15,0.767978,0.7581404437056968,-0.1055426087165421,15,0.0
3.042981,31,0.773991,3.042980985989005,-0.21486008916763102,31,0.0
-2.86691,21,0.777839,-2.866909884136227,-0.1824175380574432,21,0.0
2.504288,16,0.780829,2.504287944540516,-0.09962543913010773,16,0.0
9.411403,18,0.784108,9.411403018762881,-0.06026756208750932,18,0.0
-1.82142,14,0.786695,-1.821420142097754,-0.11820124129408138,14,0.0
8.690518,31,0.793095,8.690518002978225,-0.169689311076718,31,0.0
-1.419716,21,0.984805,-1.419715902932617,-0.1708533163121095,21,0.0
2.470839,17,0.988778,2.470838966123382,-0.10775519585575465,17,0.0
-3.789585,19,0.992862,-3.7895854807559126,-0.17384066029497067,19,0.0
-2.440797,11,0.995006,-2.440796768856369,-0.09928633368000496,11,0.0
0.391693,13,0.997384,0.39169277244992173,-0.09251690417853746,13,0.0
0.526778,18,1.001388,0.5267780600155734,-0.13136413705997688,18,0.0
-5.558522,14,1.004159,-5.55852224835696,-0.14812049968034313,14,0.0
10.359727,30,1.010322,10.359727494349414,-0.1483830883527123,30,0.0
-8.88698,21,1.01455,-8.886979839878324,-0.23051790469230846,21,0.0
-3.86565,14,1.017319,-3.865650099491485,-0.13455808873026645,14,0.0
3.961051,22,1.022502,3.9610511236352144,-0.1358153591117872,22,0.0
8.90426,33,1.0296,8.904259888867951,-0.18388347053896184,33,0.0
-2.571762,16,1.032662,-2.571761825387354,-0.14014132748570282,16,0.0
-0.505342,14,1.035337,-0.5053417622940797,-0.10769366519312576,14,0.0
2.637932,16,1.038631,2.637931564463927,-0.09850564687147982,16,0.0
-3.565401,18,1.042724,-3.565400518692373,-0.16414892980954643,18,0.0
-0.764106,25,1.047733,-0.7641058327205477,-0.19753287467773556,25,0.0
-4.169101,15,1.051022,-4.169100776102821,-0.144935116997156,15,0.0
25.812464,51,1.062196,25.812464402359325,-0.1922712232451002,51,0.0
-6.314053,21,1.066431,-6.314053003585602,-0.20996363322271172,21,0.0
-3.97616,25,1.071469,-3.976159603727744,-0.22318189562333185,25,0.0
3.199186,15,1.074327,3.199186480225866,-0.08607116170343859,15,0.0
0.51736,27,1.080157,0.5173597628370221,-0.2031390237046381,27,0.0
-0.339158,28,1.08601,-0.339157516566548,-0.21803239818261172,28,0.0
-5.06949,13,1.088603,-5.069490308472184,-0.13619843633803908,13,0.0
1.036681,12,1.275969,1.0366812288410774,-0.07934844483016149,12,0.0
-2.418916,20,1.280102,-2.4189164726284242,-0.17083561884368725,20,0.0
5.044013,20,1.283985,5.044013077710622,-0.11120705515218261,20,0.0
0.131307,24,1.288883,0.13130680902099678,-0.1822795057930289,24,0.0
-4.546157,22,1.293278,-4.546157199634713,-0.20383593741228065,22,0.0
0.448121,36,1.300671,0.44812092844999407,-0.2755104107487092,36,0.0
-1.482138,14,1.303468,-1.4821379848604714,-0.11555939701969747,14,0.0
-2.693171,22,1.307927,-2.693170984242972,-0.18902956781277377,22,0.0
4.51962,20,1.311996,4.519620220657747,-0.11536893501772484,20,0.0
4.685161,30,1.317709,4.685160855634793,-0.1937865512902833,30,0.0
10.090892,34,1.324708,10.090891625628547,-0.18242531463656597,34,0.0
-7.185567,11,1.326936,-7.1855671943443795,-0.13715833043478354,11,0.0
-4.11657,26,1.332266,-4.11656999699974,-0.23236426806600524,26,0.0
-8.142699,28,1.337475,-8.142699284257889,-0.28038287844611376,28,0.0
20.564188,46,1.347113,20.564188458634725,-0.19442674749136568,46,0.0
0.481486,12,1.349466,0.48148575692777257,-0.08380275369902218,12,0.0
2.734993,17,1.352624,2.7349930827704467,-0.10568982096335797,17,0.0
-6.049103,19,1.356147,-6.049103016031914,-0.19195173372326796,19,0.0
9.268941,39,1.363208,9.268940791248061,-0.2288514966155015,39,0.0
-7.824196,17,1.366279,-7.824196465077056,-0.1902197259049579,17,0.0
-3.998466,15,1.368872,-3.9984662102401867,-0.14361007631596673,15,0.0
4.610477,19,1.3725,4.610476710704077,-0.10665876259013328,19,0.0
-1.280215,11,1.562097,-1.28021502072219,-0.09003551612347321,11,0.0
2.374359,13,1.564867,2.374359323963289,-0.07666378901922145,13,0.0
6.522276,19,1.568642,6.522275916576891,-0.09137221239286254,19,0.0
7.356591,31,1.575066,7.356591371093756,-0.18039715883250632,31,0.0
6.361824,21,1.57946,6.361823607577754,-0.10861938364809903,21,0.0
0.931888,19,1.583675,0.9318884218425088,-0.1361270777581546,19,0.0
4.459646,28,1.589185,4.459645936048457,-0.1796249741547416,28,0.0
6.373587,30,1.595224,6.37358681718503,-0.18030279320752912,30,0.0
0.474252,12,1.597583,0.4742517932294288,-0.08390775744525762,12,0.0
-2.606845,24,1.602787,-2.6068452624890766,-0.20421349973068223,24,0.0
-3.026111,9,1.604624,-3.0261109440821015,-0.08798666687291173,9,0.0
3.332117,24,1.609623,3.332117453130954,-0.15678626927267153,24,0.0
19.130611,41,1.618148,19.130610687019974,-0.16597797792123836,41,0.0
0.276788,19,1.622171,0.2767880354686887,-0.1412593427765889,19,0.0
-3.533311,28,1.627351,-3.5333111856683748,-0.2436033483129677,28,0.0
-1.008431,32,1.634304,-1.0084305134813705,-0.25527630710916777,32,0.0
-3.657371,12,1.636831,-3.657371417510219,-0.11692491084063715,12,0.0
2.134821,33,1.643524,2.134820601357186,-0.23812407704972444,33,0.0
-1.442495,26,1.64836,-1.4424947106906538,-0.21087922577293466,26,0.0
43.568366,63,1.661095,43.568366014555245,-0.14590038192077032,63,0.0
-9.152773,37,1.851379,-9.15277269772805,-0.3602979272268036,37,0.0
1.668794,25,1.856282,1.6687939265592813,-0.1780278258336046,25,0.0
1.730401,14,1.859488,1.730400904999809,-0.08982448025617193,14,0.0
-11.525137,19,1.863279,-11.52513721011716,-0.23565270002440714,19,0.0
-0.914528,17,1.867036,-0.9145276971179853,-0.13497268421465147,17,0.0
0.531771,23,1.872096,0.5317705168114917,-0.17124168403133308,23,0.0
-4.99895,12,1.874531,-4.99894967030149,-0.12762539398445727,12,0.0
12.576317,61,1.88672,12.576317108047615,-0.3778531384073388,61,0.0
0.420838,10,1.888857,0.42083847788498707,-0.06843767449578375,10,0.0
6.005138,30,1.894515,6.0051375871477175,-0.18316162631142924,30,0.0
1.821046,47,1.903601,1.8210456646097632,-0.3523838269905718,47,0.0
2.044281,20,1.907537,2.0442813445006927,-0.13512040696115535,20,0.0
-4.154811,24,1.912341,-4.154811032979145,-0.21665230836198743,24,0.0
1.277124,12,1.914604,1.2771241479824629,-0.07748389024098117,12,0.0
0.51316,21,1.918874,0.5131604330205771,-0.15537802320732813,21,0.0
-2.945802,32,1.925085,-2.9458020114992967,-0.27083016065695414,32,0.0
-3.060576,27,1.93082,-3.0605756917741394,-0.23177864160221537,27,0.0
